id	authId	authSource	name
GND-116001291	116001291	GND	Abeken, Wilhelm
KPE-903740	903740	KPE	Herbert
GND-117703362	117703362	GND	Vischer, August
GND-116490314	116490314	GND	Hartenstein, Gustav
GND-118774360	118774360	GND	Heyse, Karl Wilhelm Ludwig
GND-1073018555	1073018555	GND	J. Kühtmann & Co.
GND-117212601	117212601	GND	Longpérier, Adrien de
GND-116605162	116605162	GND	Heider, Gustav von
GND-1012297306	1012297306	GND	Rinck, Karl Friedrich
GND-104045213	104045213	GND	Eichstaedt, Heinrich Carl Abraham
GND-4218594-4	4218594-4	GND	Museo Gregoriano Etrusco
GND-116795794	116795794	GND	Friederichs, Karl
GND-11674216X	11674216X	GND	Brückner, Carl August Friedrich
GND-118587684	118587684	GND	Nicolai, Otto
KPE-906237	906237	KPE	Borselli, Ettore
GND-136318673	136318673	GND	Brühl, Friedrich Wilhelm
GND-101478976	101478976	GND	Berio di Salsa, Francesco
GND-1052492681	1052492681	GND	Tomasi, Giambattista de <de Gallipoli>
GND-100185657	100185657	GND	Letronne, Antoine Jean
GND-119034948	119034948	GND	Ribbeck, Otto
GND-116089725	116089725	GND	Baumeister, Karl August
GND-118571729	118571729	GND	Leo, Heinrich
